essay	genotype	pot	k.eq.07	B.eq.07	ks	Bs	tm
EC	127_9	43	0.121	856.401	0.109192611	900.4212323	5.728489096
EC	130_6	44	0.195	637.996	0.206038903	624.6572673	3.554600926
EC	133_TARD_1	45	0.122	934.542	0.181757093	748.3522609	5.681534267
EC	133_TARD_2	46	0.19	743.635	0.208299147	715.7455977	3.648143056
EC	133_TARD_21	47	0.111	1014.564	0.155603106	827.9699068	6.244569194
EC	133_TARD_31	48	0.068	1123.45	0.116096409	764.5118483	10.19334089
EC	133_TARD_32	49	0.115	815.313	0.155451128	675.2141352	6.027366787
EC	133_TARD_38	50	0.094	734.352	0.127886399	603.4517921	7.373906176
EC	136_TARD_13	51	0.2	948.693	0.214929522	925.3062037	3.465735903
EC	136_TARD_4	52	0.27	835.906	0.271079293	839.5054633	2.56721178
EC	139_30	53	0.2	783.332	0.215213883	761.679596	3.465735903
EC	139_40	54	0.252	768.318	0.290600344	729.9088165	2.75058405
EC	5958_RSF_ipro	55	0.251	691.339	0.259318947	685.647845	2.761542552
EC	813_29	56	0.177	786.169	0.198282111	746.27756	3.916085766
EC	85_13	57	0.113	939.376	0.134035529	852.1493007	6.134045846
EC	85_2_8_19	58	0.282	707.207	0.30662099	687.689027	2.457968725
EC	85_2_8_20	59	0.1	768.826	0.186654034	529.4351536	6.931471806
EC	85_2_8_6	60	0.223	727.96	0.231354654	718.3838488	3.108283321
EC	85_24	61	0.199	756.552	0.227005055	718.379509	3.483151661
EC	97_TARD_3	62	0.154	728.687	0.195188502	644.7755668	4.500955718
EC	98_99_TARD_14	63	0.146	970.278	0.173782311	887.5252198	4.747583428
EC	98_99_TARD_19	64	0.244	480.43	0.247121779	478.83438	2.840767133
EC	LEO_1823_07	65	0.212	946.67	0.227470387	926.7078492	3.269562172
EC	NA_4990_RG	66	0.251	700.019	0.262684934	689.87668	2.761542552
EC	NA_5909_RG	67	0.263	663.606	0.267844392	661.0879362	2.63554061
EC	NA_6126_RG	68	0.169	874.811	0.196162771	817.7745639	4.101462607
EC	NS_6267	69	0.283	764.308	0.296595165	753.7925011	2.449283324
EC	SRM_5200	70	0.129	750.904	0.167924637	648.7832113	5.373233958
EC	SRM_6900	71	0.126	845.019	0.173908218	707.5261007	5.5011681
EC	testigo1	72	0.194	755.92	0.235356676	693.5232558	3.572923611
EC	testigo2	73	0.208	676.132	0.223442531	656.3550311	3.332438368
EC	testigo3	74	0.185	703.009	0.218122029	652.2478614	3.746741517
EC	testigo4	75	0.236	688.284	0.299888751	628.5736914	2.937064324
EC	testigo5	76	0.172	620.218	0.238750473	531.5443239	4.029925468
EC	YM10_34120	77	0.268	798.244	0.275598894	792.9647835	2.586370077
EC	YM10_36005	78	0.081	1056.255	0.137234255	749.5593902	8.5573726
